Split ID,KM,Planned_time,Actual_time
1,1,05:20,05:20
2,2,05:20,05:11
3,3,05:20,05:26
4,4,05:20,05:01
5,5,05:20,05:01
6,6,05:10,04:57
7,7,05:10,04:55
8,8,05:10,05:04
9,9,05:10,04:57
10,10,05:10,05:01
11,11,05:10,05:07
12,12,05:10,04:57
13,13,05:10,04:55
14,14,05:10,04:58
15,15,05:10,04:57
16,16,05:10,05:06
17,17,05:10,05:02
18,18,05:10,04:55
19,19,05:10,05:01
20,20,05:10,05:02
21,21,05:10,05:06
22,22,05:10,04:58
23,23,05:10,05:14
24,24,05:10,05:03
25,25,05:10,05:06
26,26,05:10,05:08
27,27,05:10,05:09
28,28,05:10,05:30
29,29,05:10,05:28
30,30,05:10,05:30
31,31,05:00,05:26
32,32,05:00,05:21
33,33,05:00,05:27
34,34,05:00,05:17
35,35,05:00,05:09
36,36,05:00,05:33
37,37,05:00,05:33
38,38,05:00,05:36
39,39,05:00,05:39
40,40,05:00,05:46
41,41,05:00,05:54
42,42,05:00,05:42
