DATE,MONTH,DISTANCE_KM,DURATION_MIN,AVG_PACE_MIN_PER_KM,AVG_HR,MAX_HR,VO2MAX,TRAINING_LOAD,TRAINING_EFFECT_LABEL,CALORIES,AVG_CADENCE_SPM,AVG_STRIDE_LENGTH_CM,ELEVATION_GAIN_M
2026-01-02,January,5.09,25.5,5.02,171.0,190.0,50.0,130.2,LACTATE_THRESHOLD,1693,156,126.1,21.0
2026-01-04,January,9.53,47.8,5.02,176.0,192.0,50.0,232.6,VO2MAX,3218,162,122.6,33.0
2026-01-05,January,5.4,35.1,6.49,147.0,163.0,50.0,55.6,AEROBIC_BASE,1848,154,99.7,15.0
2026-01-07,January,8.42,44.5,5.28,172.0,192.0,50.0,187.1,VO2MAX,2866,156,119.6,21.0
2026-01-09,January,5.26,32.2,6.12,145.0,162.0,50.0,57.5,AEROBIC_BASE,1743,150,106.9,25.0
2026-01-10,January,16.39,86.6,5.29,175.0,192.0,50.0,305.0,VO2MAX,5669,156,120.5,118.0
2026-01-12,January,6.01,37.9,6.31,151.0,161.0,50.0,67.6,AEROBIC_BASE,2070,152,103.3,19.0
2026-01-15,January,10.41,53.5,5.14,171.0,198.0,50.0,254.8,VO2MAX,3457,156,123.4,24.0
2026-01-16,January,6.44,37.3,5.8,153.0,167.0,50.0,106.4,AEROBIC_BASE,2116,152,111.1,16.0
2026-01-17,January,19.08,103.1,5.4,151.0,180.0,50.0,230.7,AEROBIC_BASE,6101,154,118.4,198.0
2026-01-19,January,7.76,45.9,5.91,149.0,162.0,51.0,85.2,AEROBIC_BASE,2564,154,108.4,22.0
2026-01-20,January,8.99,50.7,5.64,148.0,175.0,52.0,132.8,VO2MAX,2879,146,119.1,21.0
2026-01-22,January,7.94,46.0,5.8,150.0,165.0,52.0,85.1,AEROBIC_BASE,2610,154,111.3,24.0
2026-01-25,January,23.02,129.5,5.62,155.0,183.0,52.0,212.4,TEMPO,7580,154,113.9,120.0
2026-01-26,January,7.1,44.4,6.26,142.0,154.0,52.0,59.4,AEROBIC_BASE,2367,150,105.2,18.0
2026-01-28,January,7.97,40.4,5.07,165.0,189.0,52.0,156.2,TEMPO,2652,156,125.2,61.0
2026-01-30,January,7.23,37.9,5.25,157.0,181.0,52.0,109.7,TEMPO,2346,156,121.7,60.0
2026-02-01,February,12.34,68.3,5.53,151.0,177.0,52.0,182.6,TEMPO,4165,152,118.2,83.0
2026-02-02,February,6.93,37.0,5.34,150.0,163.0,52.0,106.3,AEROBIC_BASE,2204,154,120.2,41.0
2026-02-03,February,11.9,61.3,5.16,165.0,192.0,52.0,237.7,VO2MAX,3968,160,120.2,31.0
2026-02-05,February,7.87,42.7,5.42,159.0,180.0,52.0,112.1,TEMPO,2656,154,118.1,92.0
2026-02-06,February,26.1,138.7,5.31,164.0,193.0,52.0,310.9,LACTATE_THRESHOLD,8644,156,119.2,107.0
2026-02-09,February,8.01,46.1,5.76,145.0,171.0,52.0,77.2,AEROBIC_BASE,2610,154,111.2,32.0
2026-02-11,February,9.64,50.5,5.23,155.0,184.0,53.0,145.3,TEMPO,3122,156,121.0,83.0
2026-02-12,February,6.09,33.9,5.57,142.0,167.0,53.0,82.7,AEROBIC_BASE,1923,154,113.7,28.0
2026-02-14,February,29.01,159.0,5.48,162.0,192.0,53.0,318.2,LACTATE_THRESHOLD,9817,156,115.1,317.0
2026-02-16,February,8.05,46.5,5.78,145.0,155.0,53.0,77.1,AEROBIC_BASE,2640,154,110.7,29.0
2026-02-18,February,8.35,48.9,5.85,147.0,184.0,53.0,142.3,VO2MAX,2728,144,117.4,35.0
2026-02-19,February,6.05,32.8,5.42,144.0,171.0,53.0,89.7,AEROBIC_BASE,1915,154,117.6,25.0
